Question,Answer
"Can you tell me, if  X-FAB processes be used at cryogenic temperatures?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB generally does not have data at low temperatures below our operating range limits. We do have customers that use our technologies outside of our specified operating temperature limits, but in such cases the customer is responsible for qualifying the design in their application's temperature range. You may have noticed that the PDS states that the simulation models are valid in the junction temperature range down to -55C. As example, the XH018 PDS also specifies. The junction temperature range is defined as below:

1). Operating conditions: Tj = -40C… +175C
2). Absolute maximum ratings: Tj = -55C / +185C

In general we are not aware of any specific process problems with operating down to -55C, however, we also say absolute max ratings must not be sustained for long periods hence why customers need to perform their own qualification. For the range down to -55C, we can only mention some qualitative aspects. These cannot be quantified or supported by real measurement results because we neither characterize nor qualify to that temperature. Possible trends are HCI drift may get worse - but it may be mitigated because in the state where HCI is happening, current is flowing, and the transistor sees some self-heating and The transistor junction breakdown voltages could be slightly reduced.

Clearly 77K (-196C) is significantly beyond our absolute minimum operating range, so full characterization/qualification on your side will be necessary to ensure you have a robust product. I am no expert in such low temperatures but I have heard of terms such as carrier freeze out which can come into play, but such issues only amplify the requirement to do the characterization and qualification. X-FAB does not have the capability or business justification to offer such low temperature characterization (below -40C) so I'm afraid we cannot help you in that respect. I'm not really aware of a third party who could do such work either, although I'd suggest you look at our partner network (see X-CHAIN on our website) in case you can make some contacts there. Perhaps one of the Test/Assembly companies could be of interest. You might also consider trying to talk to a Space company or their suppliers if you know who they might be to see if they can do this or put you in touch with someone who can."
"Can you tell me, if  X-FAB processes be used at very cold or very low temperatures?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB generally does not have data at low temperatures below our operating range limits. We do have customers that use our technologies outside of our specified operating temperature limits, but in such cases the customer is responsible for qualifying the design in their application's temperature range. You may have noticed that the PDS states that the simulation models are valid in the junction temperature range down to -55C. As example, the XH018 PDS also specifies. The junction temperature range is defined as below:

*Operating conditions: Tj = -40C Â… +175C
*Absolute maximum ratings: Tj = -55C / +185C

In general we are not aware of any specific process problems with operating down to -55C, however, we also say absolute max ratings must not be sustained for long periods hence why customers need to perform their own qualification. For the range down to -55C, we can only mention some qualitative aspects. These cannot be quantified or supported by real measurement results because we neither characterize nor qualify to that temperature. Possible trends are:

*HCI drift may get worse - but it may be mitigated because in the state where HCI is happening, current is flowing, and the transistor sees some self-heating.

*The transistor junction breakdown voltages could be slightly reduced.

Clearly 77K (-196C) is significantly beyond our absolute minimum operating range, so full characterization/qualification on your side will be necessary to ensure you have a robust product. I am no expert in such low temperatures but I have heard of terms such as carrier freeze out which can come into play, but such issues only amplify the requirement to do the characterization and qualification. X-FAB does not have the capability or business justification to offer such low temperature characterization (below -40C) so I'm afraid we cannot help you in that respect. I'm not really aware of a third party who could do such work either, although I'd suggest you look at our partner network (see X-CHAIN on our website) in case you can make some contacts there. Perhaps one of the Test/Assembly companies could be of interest. You might also consider trying to talk to a Space company or their suppliers if you know who they might be to see if they can do this or put you in touch with someone who can."
"Can you tell me, what exactly does the ESD module do ?","Certainly, I'd be happy to help you with it. To answer your question.  Usually in older technology nodes such as CX08, the ESD implant of the ESD module is added to aid with a vertical 'spike' issue that occurs under high current such as an ESD pulse when the aluminum which is slightly p-type in the contact can 'spike' through the n-junction and short it to the P-bulk below. The ESD n-type implant is deeper than the normal n-junction, preventing a short from occurring. The p-junction is not shorted out in the same circumstance, so ESD implant is not needed on p-devices."
"Can you tell me, why ESD module is not available for all MOS devices if it improves ESD robustness?","Certainly, I'd be happy to help you with it. To answer your question.  Usually in older technology nodes such as CX08, the ESD implant of the ESD module is added to aid with a vertical 'spike' issue that occurs under high current such as an ESD pulse when the aluminum which is slightly p-type in the contact can 'spike' through the n-junction and short it to the P-bulk below. The ESD n-type implant is deeper than the normal n-junction, preventing a short from occurring. The p-junction is not shorted out in the same circumstance, so ESD implant is not needed on p-devices."
"Can you tell me, how do I display DC operating parameters that I expect but that is shown on the schematic?","Certainly, I'd be happy to help you with it. To answer your question.  Some DC operating parameters that are available in the Results Browser may not be displayable in the schematic. You might try adding all the required parameters to the ADE L Outputs window. This would help you to view your results after your run instead of looking into the Results Browser every time. This can be done as follows:

1). Run your DC simulation.
2). Go to ADE L Tools  Results Browser
3). Double click on dcOpInfo and choose the required transistor; there you can find all the parameters.
4). Right click on the required parameter and then click on Calculator.
5). You can either copy this expression and add to your ADE L Outputs or you can just click on Send Buffer expression to ADE Outputs and this will send your calculator expression to your ADE L Outputs. You can also name your expression.

Consider the operating point tables out of Cadence with caution. The CDF parameters Cadence produces are not always conformant with a SPICE simulation or even certain model card parameters. For example, often Cadence does not take into account all capacitances from a model, especially if it is a macro model. Or in other words, it is not quite clear if the capacitance calculated is the actual capacitance resulting from a SPICE simulation."
"Can you tell me, why breakdown voltage parameters generally significantly different from the operating limits?","Certainly, I'd be happy to help you with it. To answer your question.  The device electrical parameters are those measured either at PCM on every wafer manufactured  or during a characterization phase of the development. The min/max values being defined by the measured results and then engineering experience to set the min/max limits. For breakdown voltage, these values are when the device fails at the time of measurement. In contast the Operating Conditions are defined to ensure that the device will survive for 10 years. The accelerated life test has been or will be performed at these ratings depending upon status of process, conditional or released."
"Can you tell me, if it is okay if I exceed a transistor or device operating limit ?","Certainly, I'd be happy to help you with it. To answer your question.  The breakdown voltage of a transistor is a kind of 'digital' description of the transistor strength. But the real life is manifold. Therefore reliability tests are performed to describe the transistor strength for the real world conditions. If the operating conditions are far away from the electrical limits there is no danger. But if the operating conditions get closer to the electrical limits the probability of malfunction or damage increases. Each MOS transistor consists of a parasitic bipolar transistor. This parasitic bipolar transistor makes the MOS transistor sensitive to pulses. The sensitivity depends on many factors. On the one hand on the pulse characteristics such as amplitude, length, duty cycle, rise and fall time, ripple, frequency and etc. On the other hand factors include the transistor layout such as size, construction, spacing to substrate contacts and others. There is an unlimited amount of possible scenarios. This is what it makes very difficult to judge whether special conditions can be allowed or not. Therefore only one general recommendation is to never exceed the specified operating limits."
"Can you tell me, what is the difference between protection diodes and other diodes?","Certainly, I'd be happy to help you with it. To answer your question.  a protection diode needs to carry a relatively high amount of current in breakdown to really protect the circuit, otherwise the voltage drop at the device to be protected can still be too high and do damage to it. Therefore it is measured at higher currents. Protection diodes are 'designed' to have a certain breakdown voltage which is defined rather by layout (overlap of wells, distances) not by doping profile. Note that usually it is more a concern about the contacts and wiring when looking at the current limits, rather than the diode parameters."
"Can you tell me, if I ignore DRC errors on my logo elements ?","Certainly, I'd be happy to help you with it. To answer your question.  although a logo strucure is not a circuit element, it can be very dangerous, in some cases, to waive logo DRC errors. For example, metals and/or photo-resist that are below minimum width may float off the silicon during the processing and then get deposited elsewhere on the design and cause chip failures."
"Can you tell me, which DRC rules are classified as fatal ?","Certainly, I'd be happy to help you with it. To answer your question.  we do not publish a list of Fatal vs Critical errors as they are constantly under review and publication would imply that there are some errors that we don't mind the customer violating - that is not the case. We encourage customers to correct all errors - this will produce the best possible outcome on silicon. When there are special reasons that some errors cannot be fixed on layout, then we can discuss via the waiver system.  You can find fatal rule violations that  are available on sharepoint under ""http://sp.erf.xfab.de/RandD/Projects_and_Reports/Lists/ProcessInformation/Category.aspx""."
"Can you tell me, do X-FAB will perform or generate the pattern fill?","Certainly, I'd be happy to help you with it. To answer your question.  For technologies that specify density limits and include one or more blocking layers for the fill, the X-Fab will perform it. The DRC runsets for our 180nm or X*018  technologies can generate 'virtual' dummies that are taken into account during DRC. It is also possible to have the runset export the dummies to GDS such that you could merge it with your design. The problem with the dummy generation is that all structures are flat, which results in larger GDS files. Therefore it is recommended to let our Mask Tooling group do the pattern fill. For capacitively critical structures, relevant metal layers only should be blocked rather than using the BLKALL layer. The parasitic extraction runsets can C-extract these structures for determining their impact on the performance. The fill routines observe spacing margin and dummy size rules -- one consequence of that is the fill routine is not guaranteed to satisfy the minimum density rules. When that's the case, you may need to apply some extra effort, such as manually drawing a denser fill pattern."
"Can you tell me, Should I include or generate dummy pattern in my layout design ?","Certainly, I'd be happy to help you with it. To answer your question.  For technologies that specify density limits and include one or more blocking layers for the fill, the X-Fab will perform it. The DRC runsets for our 180nm or X*018  technologies can generate 'virtual' dummies that are taken into account during DRC. It is also possible to have the runset export the dummies to GDS such that you could merge it with your design. The problem with the dummy generation is that all structures are flat, which results in larger GDS files. Therefore it is recommended to let our Mask Tooling group do the pattern fill. For capacitively critical structures, relevant metal layers only should be blocked rather than using the BLKALL layer. The parasitic extraction runsets can C-extract these structures for determining their impact on the performance. The fill routines observe spacing margin and dummy size rules -- one consequence of that is the fill routine is not guaranteed to satisfy the minimum density rules. When that's the case, you may need to apply some extra effort, such as manually drawing a denser fill pattern."
"Can you tell me, what is the purpose of the technology libraries with an 'HD' suffix ?","Certainly, I'd be happy to help you with it. To answer your question.  Using xh018 as example, TECH_XH018 is the primary technology library to use. TECH_XH018_HD is a supplementary library, to be used in addition to TECH_X018, when the HD high density logic libraries D_CELLS_*HD are used. It accounts for the tighter routing grid used by the HD logic libraries for P&R or place and routes. Originally, the HD tech library was developed as a supplementary library, meaning both the normal and HD libraries should be used referenced by a design library using an HD logic library for P&R. We then decided to make the HD tech library more complete such that on the HD tech lib needed to be referenced by the design library. In such case, if you try to reference both tech libs, you will get a conflict error. More recently, we have reverted back to the original style."
"Can you tell me, is ELDO views for Cadence PDK is available ?","Certainly, I'd be happy to help you with it. To answer your question.  Unfortunately we don't support ELDO views in our Cadence PDKs. An extra license is necessary to test such views in Cadence libraries, and we do not have that currently in X-FAB, so we cannot check and guarantee the correctness of such views. In principle it might be possible for a customer to use ELDO as a simulator within Cadence, although a hurdle may be the netlisting for the simulator, which may have some specific aspects different from the netlisting for Spectre or for HSpice. The conclusion is that X-FAB does not support ELDO simulation from Virtuoso within Cadence and that we don't have any instructions for those attempting to do so."
"Can you tell me, regarding electromigration tests which AC or DC factor do you recommend or suggest ?","Certainly, I'd be happy to help you with it. To answer your question.  We usually calculate with a DC to AC conversion factor of 10. It is referred to the Pass or Fail margin at 0.1% error probability for the individual test."
"Can you tell me, is the specified current density limits sufficient for metal width when considering ESD ?","Certainly, I'd be happy to help you with it. To answer your question.  Regarding the required metal width for ESD, usually the metal resistance is critical and not the current density/current capability of the metal. The current density for HBM ESD pulses is in the range of several hundred mA/um width for example 300-400mA/um). Only narrow metal lines would be damaged by ESD stress currents. The metal resistance is critical since voltage drops across power rails will add to the pad clamping voltage. Especially in the rail-based protection scheme the power rail resistance is critical. Concerning the power rail width, power rails should provide as rule of thumb a DC current capability of 50mA for 2kV HBM ESD robustness. A different metal resistance in the connections of multi-finger ESD protection devices can result in non-uniform current distribution and early failure of the ESD protection structure. Typical layout errors are e.g. largely different metal width in anode and cathode metal connections of diodes resulting in a current concentration in a small area of the diode or a largely different metal width between drain metal and source metal in ESD nmos snap-back devices resulting as well in non-uniform current distribution."
"Can you tell me, what FLATPV and SFLATPV  ?","Certainly, I'd be happy to help you with it. To answer your question.  FLATPV is Flat passivation module and SFLATPV is Sensor flat passivation. "
"Can you tell me, what is the procedure for an IO and ESD review by X-FAB ?","Certainly, I'd be happy to help you with it. To answer your question.  The customer sends the layouts, schematics and all relevant descriptions such as normal pin operating voltages, max. ratings, required ESD robustness and etc to hotline@xfab.com. It is important for the review that when any type of analog IO cell (LV or HV) is used, also the circuitry that connects directly to the pad must be shown. We'll review the design data and provide first results via email. There can then be further review loops after design changes. There can then be also further online or face-to-face meetings for clarification - if required. A design review in an online meeting or face-to-face meeting is not appropriate. There is a higher risk that possible ESD design issues are overlooked when there is just a browsing through the design during an online meeting. Therefore an offline review is preferred."
"Can you tell me, How can I use  various GATES logic libraries?","Certainly, I'd be happy to help you with it. To answer your question.  The GATES  libraries are schematic and parameters only libraries which are used as referenced 'building block' gates libraries inside the D_CELLS  libraries. They support only the schematic side of the respective D_CELLS* libraries the rev_info.txt file of a given D_CELLS library will specify which GATES* library it requires. Therefore the GATES libraries cannot and must not be used as a stand-alone library."
"Can you tell me, where I can find GATES_PCELL library that is available for most technologies?","Certainly, I'd be happy to help you with it. To answer your question.  The library is classified as an analog library for the purpose of my X-FAB organization under Design > EDA Files, filter to Libraries > Analog > GATES_PCELL. However, unlike our other analog libraries, these GATES_PCELL libraries are freely available to customers, there is no license requirement or fee. Within the library is a userguide document. As the library name inplies, it provides parameterized cells for some types of gates which some basic logic functions, transmission gates, and other related special purpose cells. The introduction in the userguide states that The intention of this library is to provide a cell library for analogue components. This includes layout, schematics and verilog. It is not the intention to use the components in a digital design flow. You must use characterised cells instead."
"Can you tell me, my layout was flagged because it contain BOX elements. What are they ?","Certainly, I'd be happy to help you with it. To answer your question.  The issue with BOX elements is described in the 'Guideline for GDSII data' document on my X-FAB: https://my.xfab.com/search/_action/relation/596e0b4e-74cd-47af-96ae-87dd43b1bdf5/
Unlike the boundary, the BOX element is not a filled figure. Therefore it cannot be used for IC geometry."
"Can you tell me, my layout was flagged because it contain BOX elements. What are they not accepted ?","Certainly, I'd be happy to help you with it. To answer your question.  The issue with BOX elements is described in the 'Guideline for GDSII data' document on my X-FAB: https://my.xfab.com/search/_action/relation/596e0b4e-74cd-47af-96ae-87dd43b1bdf5/
Unlike the boundary, the BOX element is not a filled figure. Therefore it cannot be used for IC geometry."
"Can you tell me, Why simulations of transistor leakage produce inaccurate results that are independent of device widths ?","Certainly, I'd be happy to help you with it. To answer your question.  This issue is related to the default gmin setting of the simulator, which is gmin=1e-12. This gives every node a conductivity of 1e-12 to aid convergence. That means basically it 'adds' at 1V a current of 1e-12A. Therefore this is not dependent on the transistor's width. To get correct results for such diode currents of small devices at T=27C you need to set gmin=1e-18. Please note that for some simulators like hspice, there are separate parameters: gmin and gmindc."
"Can you tell me, if X-FAB can provide IBIS models ?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB does not support IBIS models. This falls beyond the scope of X-FAB's modelling and library support, as we are a pure-play wafer manufacturer. As I understand it, the IBIS model provides I/O device characteristics through I/V data and switching characteristics in ASCII format. The IBIS models are meant for the transfer of data and not to define an executable simulation model. They are component specific, which means that they model an entire component for example an FPGA and not just a particular I/O. IBIS models are supposed to serve for implementing the behavior of I/Os into a technology independent PCB level EMC simulation environment. We cannot provide correct IBIS models since we don't have all the required package and pin related data. I/O cell characteristics are available in data sheets, Verilog models and especially the timing Liberty format files, which you could use to generate the switching characteristic for an IBIS model."
"Can you tell me, What is the maximum recommended temperature for wafer post processing ?","Certainly, I'd be happy to help you with it. To answer your question.  for post-processing, we generally recommend that temperatures above 350C should be absolutely prevented. Higher temperatures can lead to metal-passivation or capacitor popping, IMD cracking, transistor shifts, metal voiding, enhanced Rpoly and especially RpolyH shifts depending on design, temperature ramp rate, duration and application atmosphere (N2, H2, etc.). If >350C cannot be avoided, we strongly recommend a DOE with the respective IC design using enhanced final test and also proper optical inspections after slightly accelerated post-processing stress for example slightly increased ramp rates, slightly longer storage times."
"Can you tell me, Why my account cannot download a memory compiler ?","Certainly, I'd be happy to help you with it. To answer your question.  Sorry, X-FAB does not distribute our memory compiler software to customers. Instead, a compiler must be run from my X-FAB. To do so, click the 'play' icon in the action column when you rest your mouse pointer over the icon, the pop-up text 'Start the application of this container' will be displayed. After specifying configuration options of the desired memory, the front-end design data will be available for download. As this is blackbox IP, the netlist and layout will not be provided. When you have decided on a particular configuration to use for a tape-out, please check with your X-FAB Sales contact to ensure the license agreement and P.O. are in place before submitting your design. Blackbox IP replacement approval is one of the first checks on a newly submitted SiFo -- if the L.A. and P.O. are not available, the SiFo will be held at the step and not proceed to have data input checks (includes DRC) performed. The license incurs a one-time fee, rather than royalties, and you can then instantiate the IP as often as you'd like in subsequent designs. For example, For ROM IP, each future reprogramming will incur a small fee."
"Can you tell me, by comparing the metal thicknesses of the bond pad stack to those of the Structural and Geometrical Parameters, why are the metal layers thinner on the bond pad ?","Certainly, I'd be happy to help you with it. To answer your question.  The Structural and Geometrical Parameters show the metal layer thicknesses as deposited. However if you have large oxide windows as are there on the bond pad structures, then the pad metal is thinned (etched back), and this results in thinner metal layers directly on the bonding pads. Some process documents have the bond pad diagrams showing each metal layer with an ARC layer on top and below the metal. These ARC layers are relatively thin. The deposited thickness parameters include the ARC layers since they affect the stack thickness and hence all the parasitic capacitances. When the passivation window is opened onto the top metal, the final ARC layer is removed. Hence the bonding pad diagrams and associated note indicate a lesser thickness. "
"Can you tell me, what are D_CELLS DECAP cells for ?","Certainly, I'd be happy to help you with it. To answer your question.  These cells provide capacitors between vdd and gnd to reduce digital noise and IR drop. They are usually inserted during Place and Route after routing (where existing routing allows). In a second step, FEED* cells always have to be inserted to fill up the cell rows in places where no DECAP cells could be added. You may add (the larger, DECAP*15/DECAP*25) cells also before routing to have a certain amounnt of capacitors in the block, but these cells might have an influence on routability of the block. See Innovus commands addFiller, deleteFiller for details."""
"Can you tell me, what is PDL.txt file or primitive device list  that is included from the X-Fab DRC run result ?","Certainly, I'd be happy to help you with it. To answer your question.  The PDL is a primitive device list. This file is the result of a special LVS run that only extracts the primitive devices (including parasitic devices) present in your layout. The parasitic devices included (p_*) would generally be diodes that are part of the structure of high voltage or isolated transistors. The PDL file is for information only. There have been cases in some of our technologies where a primitive device may be superseded by an improved version, or conceivably some issue under certain operating conditions of a device may have been identified -- in such cases, our Customer Projects department would use the PDL to check if such devices are used in a customer's design and make sure the customer is aware of the device's status."
"Can you tell me, The PVS.sum DRC result will last error counts for each rule like RULECHECK B1M2MIM ............. Total Result   68 ( 80). What is the differences and distinction between these two given numbers?","Certainly, I'd be happy to help you with it. To answer your question.  In this example, the 68 is the hierarchy result and the 80 is the flat run result."
"Can you tell me, How to generate the PDL.txt or primtive device list file ?","Certainly, I'd be happy to help you with it. To answer your question.  The primitive device list is generated using PVS LVS. The command line option requires setting parameters in a header file. Using the PVS LVS GUI may be easier for most users to extract a list of the primitive devices used in a given layout. Please refer to  below method on how to generate PDL.txt or Primitive Device List file as follow:

1). Open layout (read-only is OK)
2). PVS -> Run LVS
3). Input -> exclude comparison setup
4). Output -> LVS Report -> Click 'SET' button.
5). Apply/Submit to initiate the run.

To generate the Results, please refer to following:

1). Files/Output Files: Extraction report -> scroll to bottom of report.
2). Or in the Extraction tab, Uncheck 'hide statistic' then click on flat device count.
3). Or you can just open the <cell name>_lvs.sum file from the run directory. The list is at the end of the file."
"Can you tell me, Why X-Fab pattern fill did not resolve, fix or clear  R1DF minimum DIFF density desing rule violations or errors?","Certainly, I'd be happy to help you with it. To answer your question.  As flatly stated in the 'Dummy Pattern Generation' section of the Design Rule Specification, 'The dummy pattern generation script does not guarantee that the minimum and maximum structure densities of the related layer are met.' The document further recommends 'to use X-FAB's dummy pattern generation option (DUMMY_FILL included in the DRC for preview) to create dummy pattern. If the generated dummy pattern is not sufficient to meet the minimum requirements for pattern density, customers can draw additional dummy pattern following the dummy design rules...' -- the referenced R1DF application note may be helpful (especially for the case of poly resistor arrays), or other situations might be solved by placing larger DIFF dummy structures. The *.rdb files from DRC will indicate the pattern density of flagged windows (R1DF is checked in 200um square windows stepped by 100um), which is given by the 'DV' parameter (multiply it by 100 for percentage)."
"Can you tell me, What is the basis for Schottky diode forward bias limit ?","Certainly, I'd be happy to help you with it. To answer your question.  It is important not to exceed the Vanode-Vcathode operating limit for the forward direction current. This would tend to exceed the allowable thermal load of the diode. Select an appropriate size for the intended current and to be safe, apply some margin with respect to the size."
"Can you tell me, What is the convention for the SiFo major and minor versioning ?","Certainly, I'd be happy to help you with it. To answer your question.  The major version indicates how often a SiFo was sent to X-FAB AND went into the Data Input Check loop. The minor version indicates how often a SiFo was edited AND saved in my X-FAB."
"Can you tell me, What are X-FAB's recommendations for timing signoff ?","Certainly, I'd be happy to help you with it. To answer your question.  For 0.18 tech STA we have the 0.18um-ApplicationNote-Digital_Implementation_Guidelines document at ""https://my.xfab.com/search/_action/relation/4aeecb61-a2b5-4d16-ab9a-f6a4457c583f/""
On page 7, section 6.3 it states  A further set_timing derate ... is not needed as only the variation of the pin input capacitances is modelled in X-FAB's 180nm, X*018 libraries. Further up to now we did not recommend any derating to customers. It's your responsibility (and sometimes based on your internal quality requirement) how much margin you add to a timing analysis. In our standard Place and Route STA's we always use OCV (with no further de rating) in PrimeTime as this is PT's default method. In Innovus we run up to routing the simple and faster bc/wc delay calculation, only for post-route optimization we switch to OCV (when we don't forget that one line in the scripting...).From our customers base we know, we could give you few scenarios as follow:

Customer 1: (mostly XH018): they add +/-15% to the delay calculation (requested by their quality department):
set_timing_derate -cell_delay -net_delay -early 0.85
set_timing_derate -cell_delay -net_delay -late 1.15
in sdc

Customer 2: We used +/-5% for their XP018 redesign (their first design had no timing closure with our standard settings without derating, so they needed a special process modification to get working silicon at all).
set_timing_derate -cell_delay -net_delay -early 0.95
set_timing_derate -cell_delay -net_delay -late 1.05

(Their redesign had timing closure with this additional margin).
For a complete STA you have to run 3 sets:
- the 'normal' one without derating
- the pessimistic one:
set_timing_derate -cell_delay -net_delay -early 0.95
set_timing_derate -cell_delay -net_delay -late 1.05
- and the optimistic one:
set_timing_derate -cell_delay -net_delay -early 1.05
set_timing_derate -cell_delay -net_delay -late 0.95

To have a complete picture. Basically we believe the more derating margin you add, the lesser confidence you have into the quality of the spice models of the transistors and all the timing characterization of the digital libraries and parasitic extraction."
"Can you tell me, What films are on the wafer backside ?","Certainly, I'd be happy to help you with it. To answer your question.  As example from a particular technology flow, backside films include a stack of oxide, nitride, TEOS, SION, nitride (the most outer layer). There may be some differences depending on technology and module options. During manufacture, the backside is not necessarily protected from what is grown or deposited on the front side (this would be the case, for example, when wafers are loaded for batch processing into a tool in a quartz boat), so there is some accumulation of films on the backside. For many applications, wafers would undergo a backgrind operation to thin total wafer thickness, which also removes such films."
"Can you tell me, What is the crystal orientation of X-FAB wafers ?","Certainly, I'd be happy to help you with it. To answer your question.  The crystal orientation for 8-inch CMOS wafers are Wafer surface plane is 100 and Wafer notch direction is 110."
"Can you tell me, why my design flagged, triggered for including the PIMP layer ?","Certainly, I'd be happy to help you with it. To answer your question.  The PIMP layer is not available with the ISL main module. There is a blanket implant where active is open (DIFF). If PIMP is included in your GDS, a critical (not fatal) error is flagged since PIMP is only valid for MOS main module flow. For ISL flow, either omit PIMP layer from GDS to prevent the error, or waive the error."
"Can you tell me, Considering rules of W1DF and W2DF, what is the risk with narrow DIFF lines ?","Certainly, I'd be happy to help you with it. To answer your question.  One possible risk for narrow DIFF lines is problems with proper silicidation, which may result in different resistances than otherwise expected."
"Can you tell me, When we try to fix rule W5M1 Minimum MET1 width joining wide MET1 track errors, we sometimes get inexplicable errors.","Certainly, I'd be happy to help you with it. To answer your question.  This rule is marked in red in the specification, which means it cannot be 100% reliably checked by verification decks. The rule requires sizing operations on layers that can produce artifacts on non-orthogonal shapes. That's why the rule is unselected by default in the runset. It can be activated and it provides some assistance but it is the user's final responsibility to check manually. This is also why we don't check the rule at tape in."
"Can you tell me, Does X-FAB perform metal fill for xb06 or X*06 process or technologies ?","Certainly, I'd be happy to help you with it. To answer your question.  Although the xb06 Peripheral Ring diagram available on my X-FAB shows the NOFILLM layer, we do not normally perform metal fill for XB06. However the rules are in place, and we have done it as a special case when requested by a customer. So unless it is requested, there is no need to include the NOFILLM layer. The xb06 Cadence PDK has the layer defined: it's specified in the stream layer table, but the layer palette has the layer set as invalid, so a user would have to change it to valid to be able to draw with it."
"Can you tell me, What is the purpose, intent, meaning of design rule B1PADM ?","Certainly, I'd be happy to help you with it. To answer your question.  For B1PADM there are several reasons: one was to get similar heights of the pads. With different definition layers, different oxide stacks grow below the pad. For CMOSDEF e.g. there is a thinner oxide is grown, for DMOSDEF a thicker oxide is grown, without CMOSDEF and DMOSDEF an even thicker one is grown. DMOSDEF also forbids several design layers like POLY1 or DIFF in this area."
"Can you tell me, What is the purpose, intent, meaning of design rule B1PATR ?","Certainly, I'd be happy to help you with it. To answer your question.  B1PATR serves to reduce capacitive coupling between the pad metal and the silicon around it."
"Can you tell me, What is the purpose, intent, meaning of design rule B1MD ?","Certainly, I'd be happy to help you with it. To answer your question.  The reason why the MVLT and MERGEDEF was formulated as mutually exclusive into the Design Rule Spec at the time when it was originated seems to have been forgotten. There will be no risk if the TRENCH of devices with MVLT layer are merged as long as the condition of voltage difference <50V is valid."
"Can you tell me, What is the purpose, intent, meaning of design rule S2TR ?","Certainly, I'd be happy to help you with it. To answer your question.  The S2TR rule was implemented to ensure that floating tubs were always built the same way.  It applies to nested trench rings used in the MUTRIS core for device isolation and its intent was to prevent engineers from placing contacts between these rings because for the isolation in the MUTRIS core to work properly these silicon tubs must be floating.  This requirement is not as strict for the newer SITRUS core but the rule has been left in the process because of the number of older designs using the MUTRIS core."
"Can you tell me, The SPICE model libraries include *_bjt models for some MOS devices and what are they for ?","Certainly, I'd be happy to help you with it. To answer your question.  The purpose of the added PNP bipolars to the *_bjt models is to show that there can occur bipolar effects under certain conditions, but it is by far not very accurate and it has limitations. It is nevertheless extracted on silicon at different geometries and good simulation accuracy can be expected when the HVMOS channel is completely switched off and only the drain/bulk junction is forward-biased. But in other cases, the accuracy is limited, especially when the channel is in inversion and/or the bulk/substrate junction is forward-biased. Both conditions change the minority carrier distribution in the bulk/base a lot and lead to a change in the beta. There is no statistical process monitoring for these parasitic BJTs. In our experience the most reliable results and complete picture in simulation can be achieved with the substrate extractor tool, which is supported for xh018. See ""https://my.xfab.com/search/_action/relation/c7d55cc4-78d6-4d22-bdfa-897b19a3c8d4/"""
"Can you tell me, The NVRAM datasheet indicates 1.8V and 3.3V supplies are required, are they both needed for normal operationor just only for programming ?","Certainly, I'd be happy to help you with it. To answer your question.  STORE / RECALL operations require 1.8V and 3.3V; READ / WRITE of the SRAM requires only 1.8V. The 3.3V is only necessary (in addition to 1.8V) during STORE (the programming of the non-volatile part) and during RECALL (the cycle for bring back the information to the SRAM). For read / write of the SRAM only the 1.8V supply is needed."
"Can you tell me, some MOS devices have butted NDIFF and PDIFF regions with only a single contact. How should this connection be understood, comprehend, explained ?","Certainly, I'd be happy to help you with it. To answer your question.  The NDIFF and PDIFF can be butted and a single CONT used to connect to the butted nodes because all the DIFF is covered with a silicide layer which shorts together the NDIFF and PDIFF, the CONT makes connection to the silicide layer."""
"Can you tell me, the usage of  HRPOLY and LRPOLY modules ? ","Certainly, I'd be happy to help you with it. To answer your question.  The primitive devices in the HRPOLY module are already included in the MOSLL or MOSLT main modules flow. Similarly, the primitives in the LRPOLY module are already included in the MOS or MOS5 main modules. The resistors rpp1 and rnp1 have the HRES as a design layer. This layer is included on the primitive device in the PRIMLIB. For MOS/MOS5 process flows, the HRES design layer is used to generate the UGM mask. For the MOSLL/MOSLT flows the HRES design layer is not used. The resistors rp1 and rsp1 have the LRES as a design layer. This layer is included on the primitive device in the PRIMLIB. For MOSLL/MOSLT flows, the LRES design layer is used to generate the NGM mask. For the MOS/MOS5 flows the LRES design layer is not used. The Design Rule Specification includes these comments in the design layer table such as LRES Required for device recognition. Also used for mask generation when MOSLL or MOSLT modules are selected. LRES under MOS flow IS USED for mask generation with the XRPOLY module. See the dpol device rules. HRES Required for device recognition. Also used for mask generation when MOS or MOS5 modules are selected. Please leave the HRES design layer on the resistors."
