concept,description,text
"Concerning device operating limits, what do the 'absolute' voltage limits specify?","For X-FAB, the absolute voltage is the maximum voltage that can be applied to a device for a short period of time without significant damage.  The main reason we phrase it this way is because we can't be sure what the actual state of the device will be during this period of time.
For example, if 7 volts is applied between the source and drain of a nmos4 device from the xc06 process (7V is the absolute max value for these terminals) we are not specifying what voltage is on the gate or body of the device.  If the gate and body were at 0V, this voltage could probably be held 'forever,' but if the body was at 0V and the gate was at 2V, there would be significant hot carrier current to the gate and the device could fairly quickly degrade. Since this is a circuit issue, we have to use the conservative definition. 
If in your designs you can guarantee that the devices are always off when the maximum voltage is applied, the devices will probably survive indefinitely. However, please remember that X-FAB will not guarantee this.","###Human:
Concerning device operating limits, what do the 'absolute' voltage limits specify?

###Assistant:
For X-FAB, the absolute voltage is the maximum voltage that can be applied to a device for a short period of time without significant damage.  The main reason we phrase it this way is because we can't be sure what the actual state of the device will be during this period of time.
For example, if 7 volts is applied between the source and drain of a nmos4 device from the xc06 process (7V is the absolute max value for these terminals) we are not specifying what voltage is on the gate or body of the device.  If the gate and body were at 0V, this voltage could probably be held 'forever,' but if the body was at 0V and the gate was at 2V, there would be significant hot carrier current to the gate and the device could fairly quickly degrade. Since this is a circuit issue, we have to use the conservative definition. 
If in your designs you can guarantee that the devices are always off when the maximum voltage is applied, the devices will probably survive indefinitely. However, please remember that X-FAB will not guarantee this."
Can I export from Innovus to GDS without having to use Virtuoso to replace abstract views with the layout views?,"One can directly write out from Innovus to an OA library that has replaced abstract views with layout views:
oaOut ${newlibName} ${designName} ${cellName} -autoRemaster -leafViewNames { layout }

The output library should be different from the Innovus working OA library, as the new library cannot be read back into Innovus because all timing views and global settings will have been lost.

Our 180nm technology Cadence PDK kernels include support for GDS export from Innovus. The mapping files to be used when streaming Innovus layers to GDS are in the technology library corresponding to your PDK setup code, for example:
$X_DIR/xh018/cadence/v*_*/PDK/IC61/v*_*_*/TECH_XH018_1141/pnr_streamout.map

Additionally, the PVS QRC runset provides mapping files to be used when running QRC extraction from Innovus, for example:
$X_DIR/xh018/cadence/v*_*/QRC_pvs/v*_*_*/XH018_1141/QRC-Typ/xx018_lef_qrc.map
(file exists also in the QRC-Min and QRC-Max folders).","###Human:
Can I export from Innovus to GDS without having to use Virtuoso to replace abstract views with the layout views?

###Assistant:
One can directly write out from Innovus to an OA library that has replaced abstract views with layout views:
oaOut ${newlibName} ${designName} ${cellName} -autoRemaster -leafViewNames { layout }

The output library should be different from the Innovus working OA library, as the new library cannot be read back into Innovus because all timing views and global settings will have been lost.

Our 180nm technology Cadence PDK kernels include support for GDS export from Innovus. The mapping files to be used when streaming Innovus layers to GDS are in the technology library corresponding to your PDK setup code, for example:
$X_DIR/xh018/cadence/v*_*/PDK/IC61/v*_*_*/TECH_XH018_1141/pnr_streamout.map

Additionally, the PVS QRC runset provides mapping files to be used when running QRC extraction from Innovus, for example:
$X_DIR/xh018/cadence/v*_*/QRC_pvs/v*_*_*/XH018_1141/QRC-Typ/xx018_lef_qrc.map
(file exists also in the QRC-Min and QRC-Max folders)."
Assura gives background stamp errors. What exactly are these?,"The bkgnd_StampErrorFloat error simply means that the layout being checked has no connection to the substrate. Placing even just a single PDIFF contact will clear the error (of course such would not be sufficient for an entire chip).
The bkgnd_StampErrorMult and bkgnd_StampErrorConnect errors work together to indicate that the layout has multiple substrate connections that are not connected to the same node with metal (resulting in soft connections through the substrate). Assura will flag one of the connections (stamps) with bkgnd_StampErrorMult and all of the others with bkgnd_StampErrorConnect.","###Human:
Assura gives background stamp errors. What exactly are these?

###Assistant:
The bkgnd_StampErrorFloat error simply means that the layout being checked has no connection to the substrate. Placing even just a single PDIFF contact will clear the error (of course such would not be sufficient for an entire chip).
The bkgnd_StampErrorMult and bkgnd_StampErrorConnect errors work together to indicate that the layout has multiple substrate connections that are not connected to the same node with metal (resulting in soft connections through the substrate). Assura will flag one of the connections (stamps) with bkgnd_StampErrorMult and all of the others with bkgnd_StampErrorConnect."
What is the meaning of the Assura 'minority PTUB connectors' error message?,"It is generated by the connect statement from Assura. It means that more than one net is connected to the layer. The stamped layer receives the net information from the net with the most contacts. All other nets are marked with this error. For more detailed information please refer to the Assura manuals.
X-FAB does not document tool specific messages. The Assura Command Reference manual (a document primarily aimed at runset developers) explains that: 'A layer with a soft connection is a layer that only receives connectivity information and does not pass on that connectivity information. You can use the soft keyword to check layers for high-resistivity, such as wells, where you want them to be part of the net, but you do not want them to be used as a connection between two conducting layers.'
This means PTUB_soft_connect errors are 'soft connection' shorts through a common layer, which is often the PSUB, or a common well. In other words, multiple distinct nets are connected to that common layer. Perhaps those distinct nets were not intended to be distinct and should be connected together by metal.
It also should be inferred that it is not an error that you'll find defined in an X-FAB Design Rule Specification.
For a technology such as XT018, it could result from neglecting to put a trench around a p-type tub to isolate it from other tubs.","###Human:
What is the meaning of the Assura 'minority PTUB connectors' error message?

###Assistant:
It is generated by the connect statement from Assura. It means that more than one net is connected to the layer. The stamped layer receives the net information from the net with the most contacts. All other nets are marked with this error. For more detailed information please refer to the Assura manuals.
X-FAB does not document tool specific messages. The Assura Command Reference manual (a document primarily aimed at runset developers) explains that: 'A layer with a soft connection is a layer that only receives connectivity information and does not pass on that connectivity information. You can use the soft keyword to check layers for high-resistivity, such as wells, where you want them to be part of the net, but you do not want them to be used as a connection between two conducting layers.'
This means PTUB_soft_connect errors are 'soft connection' shorts through a common layer, which is often the PSUB, or a common well. In other words, multiple distinct nets are connected to that common layer. Perhaps those distinct nets were not intended to be distinct and should be connected together by metal.
It also should be inferred that it is not an error that you'll find defined in an X-FAB Design Rule Specification.
For a technology such as XT018, it could result from neglecting to put a trench around a p-type tub to isolate it from other tubs."
"What is an ""unstable device"" as flagged by Assura LVS?",It refers to a device for which device layers or connectivity are in several hierarchy levels. This message is suppressible by setting '?reportUnstableDevices nil'. For more details please see the Assura Command Reference Manual from Cadence.,"###Human:
What is an ""unstable device"" as flagged by Assura LVS?

###Assistant:
It refers to a device for which device layers or connectivity are in several hierarchy levels. This message is suppressible by setting '?reportUnstableDevices nil'. For more details please see the Assura Command Reference Manual from Cadence."
Why can't I download analog libraries?,"All of our A_CELLS* analog libraries are subject to a license agreement and one-time fee. If interested, please check with your X-FAB Sales contact for license details and a quote. The databook (an html overview page with links to individual PDF datasheets) is accessible. The library will be released upon receipt of signed license agreement and PO. The deliverable includes full schematics and complete layout.","###Human:
Why can't I download analog libraries?

###Assistant:
All of our A_CELLS* analog libraries are subject to a license agreement and one-time fee. If interested, please check with your X-FAB Sales contact for license details and a quote. The databook (an html overview page with links to individual PDF datasheets) is accessible. The library will be released upon receipt of signed license agreement and PO. The deliverable includes full schematics and complete layout."
Is backgrinding available for MPW shuttle runs?,"By default, we do not offer backgrinding service for customer tape-in for the MPW scheduled run. However, if a customer has such request and informs us during tape-in, we could check if we can support backgrinding for the particular case.","###Human:
Is backgrinding available for MPW shuttle runs?

###Assistant:
By default, we do not offer backgrinding service for customer tape-in for the MPW scheduled run. However, if a customer has such request and informs us during tape-in, we could check if we can support backgrinding for the particular case."
Is backgrinding available for xs018?,"Backgrinding is not supported for xs018. This is due to the risk on optical applications (both logistical handling and the potential defect). If it is a single exception (example MPW) or non-optical application, you can try to align with our Customer Projects department to check if X-FAB can offer backgrinding.","###Human:
Is backgrinding available for xs018?

###Assistant:
Backgrinding is not supported for xs018. This is due to the risk on optical applications (both logistical handling and the potential defect). If it is a single exception (example MPW) or non-optical application, you can try to align with our Customer Projects department to check if X-FAB can offer backgrinding."
How are the PDK bindkeys for Cadence defined?,"You should find a file .xfabcadrc created in your $HOME directory when you first execute the xkit script. For example:
XfabCadNoSetBindKey = t, means suppress default bindkey settings.
However since this is commented out by default, the default Cadence bindkeys are used, which may be located in $CDSHOME/tools/dfII/samples/local
You can define your own customized bindkeys in your .cdsinit_personal file.","###Human:
How are the PDK bindkeys for Cadence defined?

###Assistant:
You should find a file .xfabcadrc created in your $HOME directory when you first execute the xkit script. For example:
XfabCadNoSetBindKey = t, means suppress default bindkey settings.
However since this is commented out by default, the default Cadence bindkeys are used, which may be located in $CDSHOME/tools/dfII/samples/local
You can define your own customized bindkeys in your .cdsinit_personal file."
The qpa device causes issues during LVS. How to resolve it?,"For a hierarchical run, the Calibre LVS layout-extracted netlist creates an internal subcircuit for qpa which is the source of the error, for example:
.SUBCKT qpa 1 2 3 5
** N=8 EP=4 IP=0 FDC=1
X0 3 5 2 1 QPA $X=2600 $Y=2600 $D=20
.ENDS

As we cannot interfere with Calibre's internal hierarchy processing engine, the workaround is to explicitly flatten the cell by including this command in calibre GUI LVS Options/Include tab:
FLATTEN CELL qpa","###Human:
The qpa device causes issues during LVS. How to resolve it?

###Assistant:
For a hierarchical run, the Calibre LVS layout-extracted netlist creates an internal subcircuit for qpa which is the source of the error, for example:
.SUBCKT qpa 1 2 3 5
** N=8 EP=4 IP=0 FDC=1
X0 3 5 2 1 QPA $X=2600 $Y=2600 $D=20
.ENDS

As we cannot interfere with Calibre's internal hierarchy processing engine, the workaround is to explicitly flatten the cell by including this command in calibre GUI LVS Options/Include tab:
FLATTEN CELL qpa"
"Where are the QRC tech files, for use with Innovus, for your 350nm processes?","X-FAB does not support the QRC extraction from Innovus by using Quantus and QRC-tech files for our 0.35µm processes. The precision provided by our *.techLEF and *.capTbl files is sufficient for that technology node. Therefore we suggest you run the RC extraction in Innovus based on capTbl files (required in the Innovus setup).""","###Human:
Where are the QRC tech files, for use with Innovus, for your 350nm processes?

###Assistant:
X-FAB does not support the QRC extraction from Innovus by using Quantus and QRC-tech files for our 0.35µm processes. The precision provided by our *.techLEF and *.capTbl files is sufficient for that technology node. Therefore we suggest you run the RC extraction in Innovus based on capTbl files (required in the Innovus setup)."""
How can an environment variable be used in cds.lib?,Here is an example showing the syntax: DEFINE analogLib ${CDSHOME}/tools/dfII/etc/cdslib/artist/analogLib,"###Human:
How can an environment variable be used in cds.lib?

###Assistant:
Here is an example showing the syntax: DEFINE analogLib ${CDSHOME}/tools/dfII/etc/cdslib/artist/analogLib"
What are your recommendations for corner lot splits?,"The short answer is that unlike most digital-dominated fabs, we don't have a set menu of split conditions based on fast / typ / slow that customers should choose because in a mixed signal design there is often a lot more than just Vt and poly CD that can be critical to the design (but those parameters would normally be sufficient for a digital design). Therefore it's normal for a customer to make a specific request on what parameters it is desired to adjust and the relevant fab will review and confirm if that set of corners is possible. The negotiation would be done through Customer Projects at the relevant fab.

Our digital libraries and memories are characterized in the process fast/slow 3 Sigma range. 3 Sigma production means that 99.73% of the delivered wafers are OK in terms of the stable process parameters.
The process parameters are monitored with PCM test structures on each wafer.
So, if your digital design is DRC, LVS clean and the timing analysis with post layout extraction is OK at the conditions:
PVT = wp(fast), VDD_max, Tj_min
PVT = ws(slow), VDD_min, Tj_max
then you can expect 99.73% yield of the digital block in terms of process parameter deviations.
 
The majority of our customers don't ask for corner lots for their projects, but some customers do it. The Vt and gate length adjustments implied by your proposed corners impact the relevant transistor parameters for digital timing which are saturation current and threshold voltage.

The usual flow for ordering corner lots begins with the customer identifying the critical process parameters for their design (might not be simply 'digital' parameters) and submitting a list of required corners (must conform to the PCM pass/fail parameters) to X-FAB. The feasibility of such process variations will be checked by X-FAB (Customer Projects team) and then a final corner split proposal is sent. 

The goal of such a corner should be to evaluate that the design would work at lower and upper spec limits. So the typical values are the upper and lower limits of the PCM Acceptance Specification (PAS).

Here are some comments that have been collected from one of our FSEs:

    If you design according to the design rules, then the simulations should be sufficient.
    Some products require that the design rules be pushed to meet the performance requirements. In these cases, corner lots can identify process sensitivities where yield can be compromised.
    I would estimate that less than 10% of my customers are relying on Corner Lots for characterization, and these are generally only for high-volume products. When they do request they typically look at simple VTN/VTP, maybe HiRes Poly. The parameters are really design dependent. Even when I do get customers running corner lots, I’m not getting much feedback and request for product specific parametric targeting. This leads to my perception about the accuracy of the simulations.
    Potentially more effective than corner lots is coordinating a yield feedback loop once products are released to production. If we get your yield, bin, etc. information and input it into our yield enhancement software, we can correlate to equipment, inline, PCM, visual inspection, etc. Customers that work with us on this feedback will achieve yield stabilization much more quickly than without. We can work with you to review your Wafer/Final Test and coordinate the best means for yield feedback.

One of our application engineers expanded on those comments:

    The customers that do request corner lots usually settle on +/-3 sigma for the parameters they are interested in. The LV MOS VT parameters are usually selected. Beyond that it really depends on the specifics of the process options the customer has chosen and the sensitivities their designers are most concerned with.
    However, there are some significant limitations on what parameters can be varied cleanly in a corner split. The LV MOS VT parameters are relatively straight forward because there is usually a separate VT adjust implant used on them that is separate from the well implant that controls breakdown and punch through, however there are usually a few interactions that can’t be avoided (like output resistance and nw sheet resistance). The high sheet resistance poly resistors are generally easy to vary because there is usually a dedicated implant for that parameter. Beyond that things get more difficult. The HV transistor VT is sometimes split but there is almost always an interaction with transistor BVDSS, punch through, sometimes field threshold and often other parameters which can complicate evaluating the split. Other parameters are very difficult or expensive to split such as gate oxide thickness or capacitor values because they require dedicated diffusion or deposition runs that use the capacity of five or 6 lots for each split.
    My background is process development and I used to be a big fan of corner splits and ran a lot of them myself. I eventually concluded that they were not that useful for three reasons:

1. Too often there are parameter interactions that you cannot avoid which makes it difficult to impossible to get clean results from the splits.

2. You may plan for nominal, +3 sigma and -3 sigma splits but due to normal process variation you usually end up with each of these splits +/- 1 sigma or so from your intended target, e.g. -1 sigma, +2 sigma and -4 sigma, which again makes analysis difficult or impossible and may result in some splits being non-functional.

3. The corner splits are arranged by artificially varying one process parameter, such as the VT implant. In actual production lots each device parameter varies 'naturally' due to the interaction of several different process parameters. Each of these parameters has a different magnitude and direction impact on several different device parameters, usually for several different devices. As a result multiple device parameters tend to vary in a complex but related way. The corner split procedure does not reproduce this pattern so while you may get the target parameter to vary the way you want, the other device parameters will vary in a completely different way than you will see in actual production lots. For digital blocks this is probably not an important issue but for analog or RF blocks it may give a completely misleading result.
I hope this input is helpful in your decision-making.","###Human:
What are your recommendations for corner lot splits?

###Assistant:
The short answer is that unlike most digital-dominated fabs, we don't have a set menu of split conditions based on fast / typ / slow that customers should choose because in a mixed signal design there is often a lot more than just Vt and poly CD that can be critical to the design (but those parameters would normally be sufficient for a digital design). Therefore it's normal for a customer to make a specific request on what parameters it is desired to adjust and the relevant fab will review and confirm if that set of corners is possible. The negotiation would be done through Customer Projects at the relevant fab.

Our digital libraries and memories are characterized in the process fast/slow 3 Sigma range. 3 Sigma production means that 99.73% of the delivered wafers are OK in terms of the stable process parameters.
The process parameters are monitored with PCM test structures on each wafer.
So, if your digital design is DRC, LVS clean and the timing analysis with post layout extraction is OK at the conditions:
PVT = wp(fast), VDD_max, Tj_min
PVT = ws(slow), VDD_min, Tj_max
then you can expect 99.73% yield of the digital block in terms of process parameter deviations.
 
The majority of our customers don't ask for corner lots for their projects, but some customers do it. The Vt and gate length adjustments implied by your proposed corners impact the relevant transistor parameters for digital timing which are saturation current and threshold voltage.

The usual flow for ordering corner lots begins with the customer identifying the critical process parameters for their design (might not be simply 'digital' parameters) and submitting a list of required corners (must conform to the PCM pass/fail parameters) to X-FAB. The feasibility of such process variations will be checked by X-FAB (Customer Projects team) and then a final corner split proposal is sent. 

The goal of such a corner should be to evaluate that the design would work at lower and upper spec limits. So the typical values are the upper and lower limits of the PCM Acceptance Specification (PAS).

Here are some comments that have been collected from one of our FSEs:

    If you design according to the design rules, then the simulations should be sufficient.
    Some products require that the design rules be pushed to meet the performance requirements. In these cases, corner lots can identify process sensitivities where yield can be compromised.
    I would estimate that less than 10% of my customers are relying on Corner Lots for characterization, and these are generally only for high-volume products. When they do request they typically look at simple VTN/VTP, maybe HiRes Poly. The parameters are really design dependent. Even when I do get customers running corner lots, I’m not getting much feedback and request for product specific parametric targeting. This leads to my perception about the accuracy of the simulations.
    Potentially more effective than corner lots is coordinating a yield feedback loop once products are released to production. If we get your yield, bin, etc. information and input it into our yield enhancement software, we can correlate to equipment, inline, PCM, visual inspection, etc. Customers that work with us on this feedback will achieve yield stabilization much more quickly than without. We can work with you to review your Wafer/Final Test and coordinate the best means for yield feedback.

One of our application engineers expanded on those comments:

    The customers that do request corner lots usually settle on +/-3 sigma for the parameters they are interested in. The LV MOS VT parameters are usually selected. Beyond that it really depends on the specifics of the process options the customer has chosen and the sensitivities their designers are most concerned with.
    However, there are some significant limitations on what parameters can be varied cleanly in a corner split. The LV MOS VT parameters are relatively straight forward because there is usually a separate VT adjust implant used on them that is separate from the well implant that controls breakdown and punch through, however there are usually a few interactions that can’t be avoided (like output resistance and nw sheet resistance). The high sheet resistance poly resistors are generally easy to vary because there is usually a dedicated implant for that parameter. Beyond that things get more difficult. The HV transistor VT is sometimes split but there is almost always an interaction with transistor BVDSS, punch through, sometimes field threshold and often other parameters which can complicate evaluating the split. Other parameters are very difficult or expensive to split such as gate oxide thickness or capacitor values because they require dedicated diffusion or deposition runs that use the capacity of five or 6 lots for each split.
    My background is process development and I used to be a big fan of corner splits and ran a lot of them myself. I eventually concluded that they were not that useful for three reasons:

1. Too often there are parameter interactions that you cannot avoid which makes it difficult to impossible to get clean results from the splits.

2. You may plan for nominal, +3 sigma and -3 sigma splits but due to normal process variation you usually end up with each of these splits +/- 1 sigma or so from your intended target, e.g. -1 sigma, +2 sigma and -4 sigma, which again makes analysis difficult or impossible and may result in some splits being non-functional.

3. The corner splits are arranged by artificially varying one process parameter, such as the VT implant. In actual production lots each device parameter varies 'naturally' due to the interaction of several different process parameters. Each of these parameters has a different magnitude and direction impact on several different device parameters, usually for several different devices. As a result multiple device parameters tend to vary in a complex but related way. The corner split procedure does not reproduce this pattern so while you may get the target parameter to vary the way you want, the other device parameters will vary in a completely different way than you will see in actual production lots. For digital blocks this is probably not an important issue but for analog or RF blocks it may give a completely misleading result.
I hope this input is helpful in your decision-making."
Can X-FAB processes be used at cryogenic temperatures?,"X-FAB generally does not have data at low temperatures below our operating range limits. We do have customers that use our technologies outside of our specified operating temperature limits, but in such cases the customer is responsible for qualifying the design in their application's temperature range.
You may have noticed that the PDS states that the simulation models are valid in the junction temperature range down to -55C. As example, the XH018 PDS also specifies:
The junction temperature range is defined as:
Operating conditions: Tj = -40C  +175C
Absolute maximum ratings: Tj = -55C / +185C
In general we are not aware of any specific process problems with operating down to -55C, however, we also say absolute max ratings must not be sustained for long periods (hence why customers need to perform their own qualification). For the range down to -55C, we can only mention some qualitative aspects. These cannot be quantified or supported by real measurement results because we neither characterize nor qualify to that temperature. Possible trends are:
1) HCI drift may get worse - but it may be mitigated because in the state where HCI is happening, current is flowing, and the transistor sees some self-heating.
2) The transistor junction breakdown voltages could be slightly reduced.

Clearly 77K (-196C) is significantly beyond our absolute minimum operating range, so full characterization/qualification on your side will be necessary to ensure you have a robust product. I am no expert in such low temperatures but I have heard of terms such as carrier freeze out which can come into play, but such issues only amplify the requirement to do the characterization and qualification.

X-FAB does not have the capability (or business justification) to offer such low temperature characterization (below -40C) so I'm afraid we cannot help you in that respect.

I'm not really aware of a third party who could do such work either, although I'd suggest you look at our partner network (see X-CHAIN on our website) in case you can make some contacts there. Perhaps one of the Test/Assembly companies could be of interest.

You might also consider trying to talk to a Space company (or their suppliers if you know who they might be) to see if they can do this or put you in touch with someone who can.","###Human:
Can X-FAB processes be used at cryogenic temperatures?

###Assistant:
X-FAB generally does not have data at low temperatures below our operating range limits. We do have customers that use our technologies outside of our specified operating temperature limits, but in such cases the customer is responsible for qualifying the design in their application's temperature range.
You may have noticed that the PDS states that the simulation models are valid in the junction temperature range down to -55C. As example, the XH018 PDS also specifies:
The junction temperature range is defined as:
Operating conditions: Tj = -40C  +175C
Absolute maximum ratings: Tj = -55C / +185C
In general we are not aware of any specific process problems with operating down to -55C, however, we also say absolute max ratings must not be sustained for long periods (hence why customers need to perform their own qualification). For the range down to -55C, we can only mention some qualitative aspects. These cannot be quantified or supported by real measurement results because we neither characterize nor qualify to that temperature. Possible trends are:
1) HCI drift may get worse - but it may be mitigated because in the state where HCI is happening, current is flowing, and the transistor sees some self-heating.
2) The transistor junction breakdown voltages could be slightly reduced.

Clearly 77K (-196C) is significantly beyond our absolute minimum operating range, so full characterization/qualification on your side will be necessary to ensure you have a robust product. I am no expert in such low temperatures but I have heard of terms such as carrier freeze out which can come into play, but such issues only amplify the requirement to do the characterization and qualification.

X-FAB does not have the capability (or business justification) to offer such low temperature characterization (below -40C) so I'm afraid we cannot help you in that respect.

I'm not really aware of a third party who could do such work either, although I'd suggest you look at our partner network (see X-CHAIN on our website) in case you can make some contacts there. Perhaps one of the Test/Assembly companies could be of interest.

You might also consider trying to talk to a Space company (or their suppliers if you know who they might be) to see if they can do this or put you in touch with someone who can."
What exactly does the ESD module do and why is it not available for all MOS devices if it improves ESD robustness?,"Usually in older technology nodes such as CX08, the ESD implant of the ESD module is added to aid with a vertical 'spike' issue that occurs under high current (such as an ESD pulse) when the aluminum (which is slightly p-type) in the contact can 'spike' through the n-junction and short it to the P-bulk below. The ESD (n-type) implant is deeper than the normal n-junction, preventing a short from occurring. The p-junction is not shorted out in the same circumstance, so ESD implant is not needed on p-devices.","###Human:
What exactly does the ESD module do and why is it not available for all MOS devices if it improves ESD robustness?

###Assistant:
Usually in older technology nodes such as CX08, the ESD implant of the ESD module is added to aid with a vertical 'spike' issue that occurs under high current (such as an ESD pulse) when the aluminum (which is slightly p-type) in the contact can 'spike' through the n-junction and short it to the P-bulk below. The ESD (n-type) implant is deeper than the normal n-junction, preventing a short from occurring. The p-junction is not shorted out in the same circumstance, so ESD implant is not needed on p-devices."
How do I display DC operating parameters that I expect but are not shown on the schematic?,"Some DC operating parameters that are available in the Results Browser may not be displayable in the schematic. You might try adding all the required parameters to the ADE L Outputs window. This would help you to view your results after your run instead of looking into the Results Browser every time. This can be done as follows.
1) Run your DC simulation.
2) Goto ADE L → Tools → Results Browser
3) Double click on dcOpInfo and choose the required transistor; there you can find all the parameters.
4) Right click on the required parameter and then click on Calculator.
5) You can either copy this expression and add to your ADE L Outputs or you can just click on Send Buffer expression to ADE Outputs and this will send your calculator expression to your ADE L Outputs. You can also name your expression.

Consider the operating point tables out of Cadence with caution. The CDF parameters Cadence produces are not always conformant with a SPICE simulation or even certain model card parameters. For example, often Cadence does not take into account all capacitances from a model, especially if it is a macro model. Or in other words, it is not quite clear if the capacitance calculated is the actual capacitance resulting from a SPICE simulation.","###Human:
How do I display DC operating parameters that I expect but are not shown on the schematic?

###Assistant:
Some DC operating parameters that are available in the Results Browser may not be displayable in the schematic. You might try adding all the required parameters to the ADE L Outputs window. This would help you to view your results after your run instead of looking into the Results Browser every time. This can be done as follows.
1) Run your DC simulation.
2) Goto ADE L → Tools → Results Browser
3) Double click on dcOpInfo and choose the required transistor; there you can find all the parameters.
4) Right click on the required parameter and then click on Calculator.
5) You can either copy this expression and add to your ADE L Outputs or you can just click on Send Buffer expression to ADE Outputs and this will send your calculator expression to your ADE L Outputs. You can also name your expression.

Consider the operating point tables out of Cadence with caution. The CDF parameters Cadence produces are not always conformant with a SPICE simulation or even certain model card parameters. For example, often Cadence does not take into account all capacitances from a model, especially if it is a macro model. Or in other words, it is not quite clear if the capacitance calculated is the actual capacitance resulting from a SPICE simulation."
Why are the breakdown voltage parameters generally significantly different from the operating limits?,"The device electrical parameters are those measured either at PCM (on every wafer manufactured) or during a characterization phase of the development. The min/max values being defined by the measured results and then engineering experience to set the min/max limits. For breakdown voltage, these values are when the device fails at the time of measurement. In contast the Operating Conditions are defined to ensure that the device will survive for 10 years. The accelerated life test has been/will be performed at these ratings (depending upon status of process, conditional or released).""","###Human:
Why are the breakdown voltage parameters generally significantly different from the operating limits?

###Assistant:
The device electrical parameters are those measured either at PCM (on every wafer manufactured) or during a characterization phase of the development. The min/max values being defined by the measured results and then engineering experience to set the min/max limits. For breakdown voltage, these values are when the device fails at the time of measurement. In contast the Operating Conditions are defined to ensure that the device will survive for 10 years. The accelerated life test has been/will be performed at these ratings (depending upon status of process, conditional or released)."""
Is it okay if I exceed a transistor's operating limit by such-and-such amount?,"The BV of a transistor is a kind of 'digital' description of the transistor strength. But the real life is manifold. Therefore reliability tests are performed to describe the transistor strength for the real world conditions. If the operating conditions are far away from the electrical limits there is no danger. But if the operating conditions get closer to the electrical limits the probability of malfunction or damage increases.
Each MOS transistor consists of a parasitic bipolar transistor. This parasitic bipolar transistor makes the MOS transistor sensitive to pulses. The sensitivity depends on many factors. On the one hand on the pulse characteristics (amplitude, length, duty cycle, rise and fall time, ripple, frequency, etc.). On the other hand factors include the transistor layout (size, construction, spacing to substrate contacts, etc.). There is an unlimited amount of possible scenarios. This is what it makes very difficult to judge whether special conditions can be allowed or not. Therefore only one general recommendation: never exceed the specified operating limits.","###Human:
Is it okay if I exceed a transistor's operating limit by such-and-such amount?

###Assistant:
The BV of a transistor is a kind of 'digital' description of the transistor strength. But the real life is manifold. Therefore reliability tests are performed to describe the transistor strength for the real world conditions. If the operating conditions are far away from the electrical limits there is no danger. But if the operating conditions get closer to the electrical limits the probability of malfunction or damage increases.
Each MOS transistor consists of a parasitic bipolar transistor. This parasitic bipolar transistor makes the MOS transistor sensitive to pulses. The sensitivity depends on many factors. On the one hand on the pulse characteristics (amplitude, length, duty cycle, rise and fall time, ripple, frequency, etc.). On the other hand factors include the transistor layout (size, construction, spacing to substrate contacts, etc.). There is an unlimited amount of possible scenarios. This is what it makes very difficult to judge whether special conditions can be allowed or not. Therefore only one general recommendation: never exceed the specified operating limits."
What is the difference between protection diodes and other diodes?,"A protection diode needs to carry a relatively high amount of current in breakdown to really protect the circuit, otherwise the voltage drop at the device to be protected can still be too high and do damage to it. Therefore it is measured at higher currents. Protection diodes are 'designed' to have a certain breakdown voltage which is defined rather by layout (overlap of wells, distances) not by doping profile. Note that usually it is more a concern about the contacts and wiring when looking at the current limits, rather than the diode parameters.","###Human:
What is the difference between protection diodes and other diodes?

###Assistant:
A protection diode needs to carry a relatively high amount of current in breakdown to really protect the circuit, otherwise the voltage drop at the device to be protected can still be too high and do damage to it. Therefore it is measured at higher currents. Protection diodes are 'designed' to have a certain breakdown voltage which is defined rather by layout (overlap of wells, distances) not by doping profile. Note that usually it is more a concern about the contacts and wiring when looking at the current limits, rather than the diode parameters."
Can I ignore DRC errors on my logo elements?,"Although a logo strucure is not a circuit element, it can be very dangerous, in some cases, to waive logo DRC errors. For example, metals and/or photo-resist that are below minimum width may float off the silicon during the processing and then get deposited elsewhere on the design and cause chip failures.","###Human:
Can I ignore DRC errors on my logo elements?

###Assistant:
Although a logo strucure is not a circuit element, it can be very dangerous, in some cases, to waive logo DRC errors. For example, metals and/or photo-resist that are below minimum width may float off the silicon during the processing and then get deposited elsewhere on the design and cause chip failures."
Which DRC rules are classified as fatal?,"We do not publish a list of Fatal vs Critical errors as they are constantly under review and publication would imply that there are some errors that we don't mind the customer violating - that is not the case. We encourage customers to correct all errors - this will produce the best possible outcome on silicon. When there are special reasons that some errors cannot be fixed on layout, then we can discuss via the waiver system.","###Human:
Which DRC rules are classified as fatal?

###Assistant:
We do not publish a list of Fatal vs Critical errors as they are constantly under review and publication would imply that there are some errors that we don't mind the customer violating - that is not the case. We encourage customers to correct all errors - this will produce the best possible outcome on silicon. When there are special reasons that some errors cannot be fixed on layout, then we can discuss via the waiver system."
